riot_name	participants	injuries	deaths
riot294	5000	8	2
riot295	5000	8	43
riot296	79414269	32	44
riot297	5000	4	5
riot298	1000	8	74
riot299	741	8	7
riot300	18	None	2007
riot301	5000	70	8
riot302	5000	28	44
riot303	600	4	74
riot304	600	65	6
riot305	5000	40	3
riot306	300	7	8
riot307	2012	3	5
riot308	5000	21	5
riot309	5000	65	80
riot310	2000	3	3
riot311	100000	8	965
riot312	5000	20	44
riot313	5000	4	8
riot314	5000	46	8
riot315	1050	5	58
riot316	5000	4	2
riot317	5000	23	8
riot318	40000	8	2
riot319	2016	8	4
riot320	3000	8	5
riot321	5000	62	2
riot322	5000	None	None
riot323	5000	28	3
riot324	5000	4	44
riot325	2016	None	30
riot326	6969	40	7
riot327	100	None	12
riot328	2014	80	45
riot329	939	9	4
riot330	5000	2	2
riot331	500	7	10
riot332	200	0	27
riot333	2013	5	31
riot334	5000	2	22
riot335	2001	None	6
riot336	400	8	8
riot337	304	None	None
riot338	5000	9	7
riot339	780	70	4
riot340	5000	2	3
riot341	129	None	2
riot342	900	0	None
riot343	5000	2	58
riot344	5000	2	6
riot345	5000	2	8
riot346	148	None	2
riot347	400	None	None
riot348	5000	4	2015
riot349	30121	None	None
riot350	5000	2	2
riot351	1000	1	14
riot352	400	None	8
riot353	5000	20	7
riot354	800000	9	60
riot355	20	0	None
riot356	5000	2	2
riot357	300	None	None
riot358	10000	7	5
riot359	2000	None	6
riot360	791	9	None]
