articles/1968_Washington,_D.C._riots.txt	 April	 [('April', 28), ('Washington', 26), ('[', 23), ('D.C.', 23), ('Washington,', 22), ('^', 14), (']', 14), ('White', 13), ('King', 12), ('Male', 11), ('Black', 11), ('Street,', 11), ('},', 10), ('Walter', 9), ('"', 9)]
articles/1969_Gujarat_riots.txt	 Gujarat	 [('Gujarat', 23), ('Hindu', 21), ('India', 16), ('Muslim', 16), ('Muslims', 11), ('Dalit', 11), ('ISBN', 10), ('},', 10), ('Congress', 9), ('September', 8), ('Wikipedia', 8), ('Ahmedabad', 7), ('Hindus', 7), ('February', 7), ('September,', 6)]
articles/1969_Northern_Ireland_Riots.txt	 Northern	 [('Northern', 53), ('RUC', 49), ('Ireland', 41), ('IRA', 40), ('^', 37), ('August', 33), ('Belfast', 27), ('Catholic', 26), ('[', 22), ('Street', 21), ('Troubles', 19), ('Army', 16), ('Bishop,', 15), ('Mallie,', 15), ('Protestant', 15)]
articles/1969_Race_Riots_of_Singapore.txt	 Singapore	 [('Singapore', 32), ('May', 13), ('},', 10), ('Wikipedia', 8), ('[', 8), ('Riots', 6), ('Singapore.', 6), (']', 6), ('Malaysia', 5), ('See', 5), ('Race', 4), ('Incident', 3), ('Migrate', 3), ('Rumours', 3), ('Sino-Malay', 3)]
articles/1970_Memorial_Park_riot.txt	 Royal	 [('Royal', 19), ('Michigan', 13), ('Park', 12), ('Memorial', 11), ('},', 10), ('Oak', 10), ('[', 9), ('August', 9), ('April', 9), ("People's", 7), ('Oak,', 6), ('Wikipedia', 6), ('Coalition', 6), ('Youth', 5), ('Young', 5)]
articles/1973_shooting_in_South_Jamaica,_Queens.txt	 New	 [('New', 19), ('York', 18), ('City', 12), ('Police', 12), ('},', 10), ('Glover', 9), ('Shooting', 8), ('Clifford', 7), ('September', 7), ('Shea', 7), ('Thomas', 6), ('Wikipedia', 6), ('[', 5), ('June', 5), ('Doo', 5)]
articles/1975_Chapeltown_race_riot.txt	 Chapeltown	 [('Chapeltown', 13), ('},', 10), ('England', 7), ('Wikipedia', 6), ('Leeds', 6), ('See', 5), ('West', 4), ('Riots', 4), ('Battle', 4), ('Yorkshire', 3), ('Migrate', 3), ('Handsworth', 3), (']', 3), ('Harehills', 3), ('House', 3)]
articles/1977_Egyptian_Bread_Riots.txt	 Egypt	 [('Egypt', 14), ('},', 10), ('Egyptian', 7), ('Wikipedia', 6), ('January', 6), ('April', 6), ('See', 5), ('Revolution', 5), ('Daily', 4), ('[', 4), ('News', 4), ('Food', 4), (']', 4), ('World', 3), ('Migrate', 3)]
articles/1981_Brixton_riot.txt	 Brixton	 [('Brixton', 38), ('April', 17), ('Scarman', 13), ('[', 11), ('},', 10), ('May', 10), ('Road', 9), ('London', 9), ('Police', 7), ('Report', 7), ('Railton', 7), ('Black', 7), ('England', 7), (']', 7), ('Bailey', 6)]
articles/1981_Chapeltown_race_riot.txt	 Chapeltown	 [('Chapeltown', 14), ('},', 10), ('England', 8), ('Wikipedia', 6), ('Leeds', 6), ('See', 6), ('Riots', 5), ('Handsworth', 4), ('Harehills', 4), ('Brixton', 4), ('Battle', 4), ('Migrate', 3), ('London', 3), ('West', 3), ('UK', 3)]
